id;siglaTipo;numero;ano;eco_score_neural
2620728;PAR;1;0;46.767704
2620727;DOC;716;2026;19.020561
2620726;SBT-A;1;0;44.736015
2620725;PAR;1;0;47.9756
2620724;SBT-A;1;0;44.453068
2620723;PAR;1;0;48.544777
2620722;REQ;17;2026;54.61148
2620721;REQ;16;2026;53.751328
2620720;SBT-A;1;0;45.188366
2620719;SBT;1;0;61.729694
2620718;PAR;1;0;48.983036
2620717;SBT;1;0;61.152164
2620716;REQ;15;2026;54.63195
2620715;REQ;14;2026;56.766476
2620553;PRL;1;0;62.930916
2620714;REQ;13;2026;59.04145
2620713;SBT;1;0;55.061222
2620712;REQ;12;2026;56.62673
2620711;PRL;1;0;51.5867
2620710;REQ;11;2026;51.715195
2620709;DOC;715;2026;19.020561
2620708;PRL;1;0;44.502346
2620707;PRL;1;0;51.5867
2620706;REQ;10;2026;56.47477
2620705;PRL;1;0;50.141968
2620704;PRL;1;0;58.198334
2620703;PL;2135;2026;60.751175
2620702;REQ;3;2026;59.04113
2620701;PL;2134;2026;57.11322
2620700;SBR;2;0;57.862305
2620699;SBT;2;0;59.937088
2620698;REQ;209;2026;56.31333
2620697;REQ;38;2026;64.6157
2620696;PRL;2;0;46.59452
2620695;PL;2133;2026;44.0407
2620694;RIC;1181;2026;59.533073
2620435;PRL;1;0;43.6967
2620693;RIC;1180;2026;57.54561
2620692;PRL;1;0;43.195076
2620691;INC;672;2026;55.094414
2620690;PRL;1;0;41.960136
2620689;REQ;70;2026;65.05057
2620688;REQ;208;2026;53.337746
2620687;DOC;473;2026;53.01449
2620686;DOC;714;2026;19.020561
2620685;RIC;1179;2026;57.389618
2620684;INC;671;2026;59.80464
2620683;RIC;1178;2026;56.40638
2620682;REQ;55;2026;60.016174
2620681;REQ;37;2026;62.486935
2620680;PL;2132;2026;59.288742
2620679;RIC;1177;2026;59.68573
2620678;RIC;1176;2026;59.439503
2620677;RIC;1175;2026;61.29342
2620676;RIC;1174;2026;60.64396
2620675;RIC;1173;2026;60.927677
2620674;RIC;1172;2026;59.959816
2620673;RIC;1171;2026;61.00306
2620672;RIC;1170;2026;60.74443
2620671;RIC;1169;2026;60.736828
2620670;RIC;1168;2026;59.912117
2620669;RIC;1167;2026;60.144234
2620668;RIC;1166;2026;59.829216
2620667;RIC;1165;2026;60.98392
2620666;RIC;1164;2026;60.942123
2620665;SBT;1;0;61.669777
2620664;RIC;1163;2026;60.7803
2620663;RIC;1162;2026;61.043728
2620662;RIC;1161;2026;61.113594
2620661;RIC;1160;2026;61.12226
2620660;RIC;1159;2026;60.261894
2620659;RIC;1158;2026;60.34972
2620658;RIC;1157;2026;60.78515
2620657;RIC;1156;2026;61.520733
2620656;PRL;1;0;46.59452
2620655;RIC;1155;2026;61.47602
2620654;RIC;1154;2026;61.89146
2620653;RIC;1153;2026;60.66997
2620652;RIC;1152;2026;61.66631
2620651;RIC;1151;2026;60.323177
2620650;RIC;1150;2026;60.185112
2620649;RIC;1149;2026;61.19703
2620648;RIC;1148;2026;60.487335
2620529;SBT-A;1;0;44.2546
2620647;RIC;1147;2026;61.347603
2620646;RIC;1146;2026;61.886345
2620645;RIC;1145;2026;61.642635
2620644;RIC;1144;2026;61.41702
2620643;RIC;1143;2026;61.34063
2620642;RIC;1142;2026;61.109055
2620641;RIC;1141;2026;61.153923
2620640;RIC;1140;2026;61.34603
2620639;RIC;1139;2026;61.118984
2620638;RIC;1138;2026;62.304108
2620637;RIC;1137;2026;61.40709
2620636;RIC;1136;2026;60.998474
2620635;REQ;207;2026;61.092884
2620634;RIC;1135;2026;61.427246
2620633;RIC;1134;2026;60.641228
2620632;RIC;1133;2026;60.57811
2620631;RIC;1132;2026;61.027252
2620630;RIC;1131;2026;60.957
2620629;MPV;1354;2026;58.04206
2620628;MPV;1353;2026;67.309875
2620627;RIC;1130;2026;60.942215
2620626;RIC;1129;2026;60.688854
2620625;RIC;1128;2026;61.398518
2620624;RIC;1127;2026;59.738846
2620623;RIC;1126;2026;60.974987
2620622;RIC;1125;2026;60.947395
2620621;RIC;1124;2026;61.35933
2620620;RIC;1123;2026;59.073383
2620619;RIC;1122;2026;60.442127
2620618;RIC;1121;2026;61.524117
2620617;RIC;1120;2026;61.185814
2620616;RIC;1119;2026;59.449745
2620615;RIC;1118;2026;60.98158
2620614;PRL;1;0;43.02624
2620613;SBT;2;0;61.33284
2620612;PRL;3;0;43.40606
2620611;PL;2131;2026;63.53605
2620610;PRL;1;0;42.522575
2620609;EMR;1;0;19.020561
2620608;REQ;2573;2026;50.091244
2620607;REQ;28;2026;55.18967
2620606;REQ;27;2026;56.828777
2620605;RIC;1117;2026;63.519676
2620604;RIC;1116;2026;55.85183
2620603;INC;670;2026;53.81655
2620602;DOC;713;2026;19.020561
2620601;PRL;2;0;43.799725
2620599;PRL;1;0;50.143085
2620598;PRL;1;0;50.143085
2620597;PRL;2;0;57.40478
2620596;PRL;1;0;52.19425
2620595;PAR;1;0;49.667652
2620592;PRL;2;0;54.85394
2620591;PRL;1;0;53.334297
2620590;PRL;1;0;53.334297
2620589;REQ;9;2026;57.709354
2620588;REQ;8;2026;48.159508
2620587;REQ;7;2026;53.25389
2620586;REQ;6;2026;59.84807
2620585;PAR;1;0;49.21717
2620584;PL;2130;2026;55.76099
2620528;PAR;1;0;49.224472
2620583;INC;669;2026;60.14524
2620582;PRL;1;0;50.94257
2620581;REQ;2572;2026;60.565437
2620580;PRL;1;0;42.740273
2620579;EMC;1;2026;61.25786
2620578;DOC;472;2026;49.137547
2620577;DOC;471;2026;48.9553
2620576;DOC;470;2026;47.877686
2620575;DOC;469;2026;50.261284
2620574;DOC;468;2026;49.66095
2620573;DOC;467;2026;49.71127
2620572;DOC;466;2026;49.8143
2620571;DOC;465;2026;50.287544
2620570;DOC;464;2026;48.959137
2620569;DOC;463;2026;50.218887
2620568;DOC;462;2026;50.14447
2620567;DOC;461;2026;47.300358
2620566;DOC;460;2026;49.8225
2620565;DOC;459;2026;49.861862
2620564;DOC;458;2026;48.830956
2620563;SBT-A;1;0;45.120476
2620562;DOC;457;2026;48.493248
2620561;PAR;1;0;47.055553
2620560;DOC;456;2026;48.21114
2620559;DOC;455;2026;49.236576
2620558;DOC;454;2026;48.602657
2620557;DOC;453;2026;48.665916
2620556;DOC;452;2026;48.59911
2620555;DOC;451;2026;49.92919
2620552;PL;2129;2026;60.12513
2620551;PL;2128;2026;60.641205
2620550;PL;2127;2026;52.505684
2620549;PL;2126;2026;59.91509
2620548;PL;2125;2026;55.719936
2620547;PL;2124;2026;60.39768
2620546;PL;2123;2026;60.10822
2620545;PL;2122;2026;60.253494
2620544;PL;2121;2026;62.27485
2620543;PL;2120;2026;59.576344
2620542;RIC;1115;2026;52.932938
2620541;REQ;2571;2026;51.20292
2620540;SBT;1;0;59.010853
2620539;PRL;1;0;47.49168
2620538;REQ;54;2026;59.416412
2620537;REQ;53;2026;56.772278
2620535;PRL;1;0;40.969223
2620534;RIC;1114;2026;58.580208
2620533;INC;668;2026;62.055344
2620532;RIC;1113;2026;59.369587
2620531;RIC;1112;2026;60.991467
2620530;RIC;1111;2026;71.40253
2620527;REQ;41;2026;67.35134
2620526;MSC;329;2026;57.97689
2620525;RIC;1110;2026;63.729267
2620524;SBT-A;1;0;46.449314
2620523;RIC;1109;2026;67.917564
2620522;PAR;1;0;51.08735
2620521;DOC;712;2026;19.020561
2620520;REQ;127;2026;58.351933
2620519;REQ;40;2026;69.067726
2620518;RIC;1108;2026;55.16131
2620517;REQ;2570;2026;51.981117
2620516;PAR;1;0;46.29291
2620515;EMC-A;1;0;44.178814
2620514;PL;2119;2026;55.107273
2620513;REQ;2569;2026;61.46057
2620512;REQ;2568;2026;57.226192
2620511;SBT-A;1;0;43.52565
2620510;PAR;1;0;45.719822
2620509;REQ;6;2026;60.405582
2620508;REQ;109;2026;60.06577
2620507;SBT-A;1;0;43.485386
2620506;PAR;1;0;45.788937
2620505;PRL;4;0;55.837452
2620504;VTS;1;0;63.819324
2620503;REQ;2567;2026;60.405582
2620502;REQ;56;2026;59.143585
2620501;REQ;55;2026;59.65751
2620500;REQ;54;2026;60.00165
2620499;SBT;1;0;63.90346
2620498;PRL;1;0;53.89076
2620497;REQ;25;2026;58.074005
2620496;REQ;2566;2026;58.330643
2620495;PRL;1;0;43.748276
2620494;REQ;2565;2026;52.674095
2620493;REQ;2564;2026;54.771996
2620492;REQ;2563;2026;52.8759
2620491;PL;2118;2026;59.26783
2620490;REQ;2562;2026;53.380035
2620489;PL;2117;2026;59.833347
2620488;REQ;2561;2026;52.674095
2620487;PL;2116;2026;58.149784
2620486;EMC-A;1;0;42.24548
2620485;REQ;2560;2026;54.065132
2620484;REQ;2559;2026;59.590454
2620483;SBR;1;0;19.020561
2620482;PRL;2;0;59.431564
2620481;PRL;1;0;44.02931
2620480;PRL;1;0;44.518776
2620479;PAR;1;0;45.378063
2620478;PRL;1;0;43.392
2620477;SBT;1;0;53.052174
2620476;PRL;1;0;44.129868
2620475;SBT;4;0;56.977375
2620474;PRL;1;0;45.020477
2620473;PRL;1;0;44.395073
2620472;PRL;1;0;42.48432
2620471;PRL;1;0;42.84872
2620470;SBT-A;1;0;43.539715
2620469;PAR;1;0;45.45353
2620468;PRL;1;0;44.824123
2620467;PRL;1;0;42.300907
2620466;PRL;1;0;43.0171
2620465;INC;667;2026;57.476242
2620464;PRL;1;0;44.321735
2620463;PRL;1;0;43.775547
2620462;REQ;2558;2026;51.981117
2620461;PRL;2;0;49.277393
2620460;PRL;1;0;44.07005
2620459;PAR;1;0;46.17227
2620458;PRL;1;0;45.785976
2620457;PRL;1;0;43.056725
2620456;PRL;4;0;52.556007
2620455;PRL;1;0;43.54275
2620454;PRL;1;0;44.3856
2620453;SBT-A;1;0;44.46596
2620452;PAR;1;0;46.518772
2620451;PRL;1;0;45.063366
